"","tsGroup","year"
"846","G11845-A",12
"847","G11850-A",5
"848","G11850-B",17
"849","G11853-A",24
"850","G11854-A",22
"851","G11864-A",6
"852","G11864-B",8
"853","G11865-A",5
"854","G11870-A",10
"855","G11874-A",5
"856","G11874-B",11
"857","G11875-A",6
"858","G11877-A",7
"859","G11877-B",20
"860","G11878-A",11
"861","G11879-A",14
"862","G11880-A",15
"863","G11881-A",15
"864","G11882-A",11
"865","G11891-A",18
"866","G11897-A",5
"867","G11899-A",18
"868","G11899-B",7
"869","G11901-A",12
"870","G11909-A",9
"871","G11912-A",6
"872","G11912-B",6
"873","G11923-A",6
"874","G11924-A",9
"875","G11931-A",7
"876","G11931-B",10
"877","G11933-A",12
"878","G11945-A",11
"879","G11955-A",18
"880","G11965-A",11
"881","G11967-A",9
"882","G11967-B",5
"883","G11971-A",6
"884","G11976-A",8
"885","G11979-A",16
"886","G11985-A",10
"887","G11986-A",5
"888","G11986-B",7
"889","G11987-A",13
"890","G11988-A",12
"891","G11990-A",5
"892","G11994-A",5
"893","G11995-A",9
"894","G11996-A",5
"895","G12002-A",7
"896","G12003-A",9
"897","G12013-A",9
"898","G12015-A",9
"899","G12015-B",9
"900","G12027-A",15
"901","G12038-A",9
"902","G12039-A",5
"903","G12039-B",8
"904","G12047-A",9
"905","G12050-A",5
"906","G12051-A",7
"907","G12058-A",11
"908","G12076-A",12
"909","G12077-A",12
"910","G12083-A",12
"911","G12096-A",10
"912","G12096-B",6
"913","G12102-A",6
"914","G12111-A",7
"915","G12122-A",15
"916","G12128-A",6
"917","G12136-A",8
"918","G12137-A",6
"919","G12141-A",6
"920","G12145-A",17
"921","G12145-B",11
"922","G12154-A",22
"923","G12195-A",7
"924","G12195-B",7
"925","G12786-A",17
"926","G12788-A",7
"927","G12789-A",8
"928","G12794-A",14
"929","G12795-A",6
"930","G1390-A",5
"931","G1408-A",5
"932","G1442-A",5
"933","G1443-A",5
"934","G1444-A",5
"935","G1447-A",5
"936","G1489-A",5
"937","G1490-A",5
"938","G1497-A",5
"939","G1752-A",10
"940","G1790-A",9
"941","G1791-A",6
"942","G1794-A",6
"943","G1836-A",8
"944","G1851-A",5
"945","G1877-A",5
"946","G1877-B",20
"947","G1954-A",5
"948","G1960-A",7
"949","G1960-B",7
"950","G2061-A",8
"951","G2063-A",8
"952","G2065-A",10
"953","G2070-A",9
"954","G2073-A",11
"955","G2074-A",5
"956","G2076-A",7
"957","G2079-A",8
"958","G2088-A",15
"959","G2092-A",8
"960","G2094-A",5
"961","G2096-A",13
"962","G2098-A",11
"963","G2102-A",8
"964","G2107-A",10
"965","G2113-A",5
"966","G2116-A",8
"967","G2121-A",9
"968","G2122-A",17
"969","G2124-A",11
"970","G2125-A",14
"971","G2128-A",5
"972","G2128-B",5
"973","G2134-A",9
"974","G2136-A",10
"975","G2138-A",9
"976","G2139-A",12
"977","G2139-B",9
"978","G2140-A",10
"979","G2146-A",6
"980","G2147-A",12
"981","G2148-A",5
"982","G2148-B",5
"983","G2155-A",8
"984","G2158-A",7
"985","G2170-A",10
"986","G2175-A",11
"987","G2176-A",7
"988","G2187-A",15
"989","G2188-A",14
"990","G2192-A",5
"991","G2199-A",7
"992","G2201-A",5
"993","G2211-A",11
"994","G2212-A",5
"995","G2213-A",5
"996","G2227-A",8
"997","G2230-A",8
"998","G2231-A",5
"999","G2231-B",10
"1000","G2235-A",9
"1001","G2237-A",9
"1002","G2238-A",12
"1003","G2238-B",6
"1004","G2240-A",11
"1005","G2253-A",7
"1006","G2253-B",5
"1007","G2259-A",11
"1008","G2264-A",6
"1009","G2265-A",11
"1010","G2268-A",12
"1011","G2268-B",6
"1012","G2270-A",5
"1013","G2271-A",11
"1014","G2272-A",6
"1015","G2276-A",12
"1016","G2276-B",6
"1017","G2279-A",7
"1018","G2280-A",5
"1019","G2281-A",10
"1020","G2282-A",15
"1021","G2284-A",5
"1022","G2286-A",6
"1023","G2290-A",9
"1024","G2291-A",10
"1025","G2297-A",8
"1026","G2300-A",15
"1027","G2301-A",7
"1028","G2302-A",11
"1029","G2303-A",11
"1030","G2310-A",5
"1031","G2311-A",9
"1032","G2314-A",5
"1033","G2318-A",11
"1034","G2328-A",11
"1035","G2328-B",6
"1036","G2333-A",12
"1037","G2337-A",5
"1038","G2338-A",11
"1039","G2341-A",13
"1040","G2351-A",11
"1041","G2352-A",9
"1042","G2362-A",5
"1043","G2364-A",7
"1044","G2368-A",9
"1045","G2369-A",12
"1046","G2372-A",8
"1047","G2373-A",13
"1048","G2374-A",10
"1049","G2374-B",6
"1050","G2383-A",6
"1051","G2384-A",10
"1052","G2387-A",5
"1053","G2389-A",6
"1054","G2391-A",5
"1055","G2397-A",11
"1056","G2401-A",13
"1057","G2402-A",5
"1058","G2406-A",6
"1059","G2413-A",13
"1060","G2417-A",11
"1061","G2417-B",6
"1062","G2424-A",11
"1063","G2426-A",5
"1064","G2426-B",5
"1065","G2433-A",10
"1066","G2436-A",13
"1067","G2438-A",9
"1068","G2447-A",7
"1069","G2450-A",11
"1070","G2453-A",6
"1071","G2471-A",13
"1072","G2483-A",10
"1073","G2499-A",11
"1074","G2502-A",11
"1075","G2503-A",6
"1076","G2522-A",6
"1077","G2533-A",12
"1078","G2533-B",6
"1079","G2535-A",13
"1080","G2545-A",8
"1081","G2546-A",8
"1082","G2560-A",9
"1083","G2565-A",5
"1084","G2578-A",7
"1085","G2598-A",13
"1086","G2607-A",8
"1087","G2615-A",11
"1088","G2616-A",6
"1089","G2618-A",6
"1090","G2634-A",10
"1091","G2640-A",8
"1092","G2642-A",8
"1093","G2662-A",8
"1094","G2665-A",13
"1095","G2672-A",5
"1096","G2674-A",6
"1097","G2676-A",7
"1098","G2694-A",5
"1099","G2710-A",5
"1100","G2716-A",6
"1101","G2723-A",5
"1102","G2726-A",11
"1103","G2728-A",6
"1104","G2730-A",5
"1105","G2745-A",8
"1106","G2757-A",5
"1107","G2760-A",5
"1108","G2764-A",7
"1109","G2770-A",9
"1110","G2780-A",5
"1111","G2784-A",13
"1112","G2803-A",5
"1113","G2824-A",12
